elapsed_ms,produced,consumed,succeeded,failed,backlog,interval_mps,moving_avg_mps
255.011,29569,25477,24240,1237,4092,0.118,0.118
505.015,55635,51543,48915,2628,4092,0.104,0.115
751.894,81651,77559,73647,3912,4092,0.104,0.113
1005.014,108470,104378,99028,5350,4092,0.107,0.112
1250.072,133614,129522,122863,6659,4092,0.101,0.110
1501.458,159652,155563,147614,7949,4089,0.104,0.109
1751.661,184547,180462,171245,9217,4085,0.100,0.107
2005.017,211066,206979,196459,10520,4087,0.106,0.107
2251.420,236897,232805,221014,11791,4092,0.103,0.106
2500.596,262038,258024,244862,13162,4014,0.101,0.105
2755.013,286554,282552,268119,14433,4002,0.098,0.104
3000.039,310519,306513,290893,15620,4006,0.096,0.102
3251.055,331853,327883,311146,16737,3970,0.085,0.099
3500.043,356053,352144,334185,17959,3909,0.097,0.098
3755.013,381497,378644,359304,19340,2853,0.102,0.099
4003.358,401685,401499,380975,20524,186,0.081,0.095
4250.024,419097,419093,397644,21449,4,0.070,0.090
4505.014,432716,432716,410564,22152,0,0.054,0.083
4750.778,442518,442518,419839,22679,0,0.039,0.074
5000.063,451193,451192,428046,23146,1,0.035,0.066
5253.222,460437,460437,436818,23619,0,0.037,0.060
5500.106,468669,468662,444595,24067,7,0.033,0.055
5750.087,482101,482101,457272,24829,0,0.054,0.055
6002.950,494822,494822,469307,25515,0,0.051,0.054
6254.562,507694,507694,481441,26253,0,0.051,0.053
6503.274,519844,519844,492897,26947,0,0.049,0.052
6751.792,528909,528909,501468,27441,0,0.036,0.049
7000.119,536613,536613,508740,27873,0,0.031,0.046
7250.088,544986,544986,516629,28357,0,0.033,0.043
7505.014,552570,552570,523793,28777,0,0.030,0.041
7755.020,560586,560585,531381,29204,1,0.032,0.039
8004.402,567685,567684,538076,29608,1,0.028,0.037
8255.012,574863,574863,544874,29989,0,0.029,0.035
8500.285,582495,582495,552045,30450,0,0.031,0.034
8754.007,590907,590907,560014,30893,0,0.034,0.034
9007.342,596083,596053,564860,31193,30,0.021,0.031
9255.772,597812,597630,566348,31282,182,0.007,0.027
9500.977,599724,599685,568277,31408,39,0.008,0.023
9751.608,601232,601024,569538,31486,208,0.006,0.019
10003.450,603010,602730,571150,31580,280,0.007,0.017
10253.808,604395,604386,572711,31675,9,0.006,0.015
10500.093,606656,606580,574782,31798,76,0.009,0.014
10750.140,608572,608428,576508,31920,144,0.008,0.012
11000.628,610758,610755,578687,32068,3,0.009,0.012
11250.049,612940,612940,580730,32210,0,0.009,0.011
11500.079,614769,614769,582443,32326,0,0.007,0.010
11755.021,617152,617152,584687,32465,0,0.010,0.010
12004.547,619080,618827,586261,32566,253,0.008,0.010
12254.158,621346,621014,588303,32711,332,0.009,0.010
12500.091,623441,623438,590589,32849,3,0.008,0.009
12750.079,625404,625177,592236,32941,227,0.008,0.009
13001.542,626955,626840,593807,33033,115,0.006,0.008
13254.519,629042,628813,595692,33121,229,0.008,0.008
13500.149,630538,630465,597262,33203,73,0.006,0.008
13753.517,632437,632398,599094,33303,39,0.008,0.008
14001.198,634235,634117,600732,33385,118,0.007,0.008
14250.104,635808,635737,602254,33483,71,0.006,0.007
14505.033,637683,637615,604037,33578,68,0.007,0.007
14750.167,639384,639236,605566,33670,148,0.007,0.007
15004.792,640662,640557,606810,33744,105,0.005,0.007
15255.015,641875,641781,607958,33823,94,0.005,0.006
15505.024,643221,643206,609302,33904,15,0.005,0.006
15751.544,644443,644443,610472,33971,0,0.005,0.006
16000.111,645651,645616,611592,34024,35,0.005,0.006
16250.652,646910,646907,612809,34098,3,0.005,0.006
16502.377,648341,648287,614121,34166,54,0.006,0.006
16755.014,649345,649314,615092,34222,31,0.004,0.005
17000.107,650488,650402,616135,34267,86,0.005,0.005
17255.023,651593,651579,617248,34331,14,0.004,0.005
17500.725,652812,652805,618411,34394,7,0.005,0.005
17755.035,654267,654267,619785,34482,0,0.006,0.005
18000.074,655784,655632,621072,34560,152,0.006,0.005
18253.493,656986,656882,622264,34618,104,0.005,0.005
18500.411,658463,658431,623722,34709,32,0.006,0.005
18750.064,659821,659814,625024,34790,7,0.005,0.005
19000.052,660979,660970,626126,34844,9,0.005,0.005
19250.064,662726,662724,627773,34951,2,0.007,0.006
19505.020,664432,664368,629318,35050,64,0.007,0.006
19750.054,666244,666065,630930,35135,179,0.007,0.006
20001.533,667826,667807,632574,35233,19,0.006,0.006
20250.050,669611,669611,634263,35348,0,0.007,0.006
20500.483,671048,670864,635440,35424,184,0.006,0.006
20755.022,672433,672336,636822,35514,97,0.006,0.006
21005.025,673727,673649,638059,35590,78,0.005,0.006
21251.894,674920,674895,639231,35664,25,0.005,0.006
21505.022,676324,675895,640177,35718,429,0.006,0.006
21750.151,677196,677188,641398,35790,8,0.003,0.005
22000.118,678181,678166,642309,35857,15,0.004,0.005
22252.284,679332,679299,643358,35941,33,0.005,0.005
22500.131,680143,680120,644135,35985,23,0.003,0.005
22750.054,681271,681181,645085,36096,90,0.005,0.005
23000.144,682443,682399,646171,36228,44,0.005,0.005
23255.024,683573,683523,647182,36341,50,0.005,0.005
23500.686,684852,684852,648381,36471,0,0.005,0.005
23755.023,685956,685883,649312,36571,73,0.004,0.005
24003.244,686945,686918,650253,36665,27,0.004,0.004
24251.018,688177,688147,651357,36790,30,0.005,0.005
24503.673,689404,689404,652498,36906,0,0.005,0.005
24754.328,690430,690393,653386,37007,37,0.004,0.005
25004.088,691418,691394,654287,37107,24,0.004,0.004
25250.123,692547,692547,655341,37206,0,0.005,0.004
25505.022,693714,693642,656328,37314,72,0.005,0.004
25755.019,694717,694642,657230,37412,75,0.004,0.004
26000.093,695706,695705,658172,37533,1,0.004,0.004
26255.050,696764,696707,659079,37628,57,0.004,0.004
26505.033,697765,697763,660042,37721,2,0.004,0.004
26751.827,698552,698544,660750,37794,8,0.003,0.004
27000.190,699426,699381,661515,37866,45,0.003,0.004
27255.021,700655,700578,662599,37979,77,0.005,0.004
27502.104,701768,701719,663611,38108,49,0.004,0.004
27755.019,702846,702800,664596,38202,46,0.004,0.004
28000.974,703742,703742,665452,38290,0,0.004,0.004
28250.078,704831,704734,666347,38387,97,0.004,0.004
28505.015,705822,705689,667215,38474,133,0.004,0.004
28755.025,706759,706716,668139,38577,43,0.004,0.004
29005.034,708000,707929,669219,38710,71,0.005,0.004
29253.670,712156,712156,673039,39117,0,0.017,0.007
29500.623,716874,716820,677240,39580,54,0.019,0.009
29755.009,721807,721807,681732,40075,0,0.020,0.011
30003.763,726861,726853,686309,40544,8,0.020,0.013
30255.021,728064,728064,687399,40665,0,0.005,0.011
30255.052,728064,728064,687399,40665,0,0.024,0.011
